date,time,side,rr_target,entry,sl,tp,result_R,asia_high,asia_low,ema,atr
2025-01-02,2025-01-02 08:10:00+00:00,short,2.5,2635.068,2637.838,2628.143,0.0,2636.298,2622.448,2629.6738856336806,1.2537857142857385
2025-01-03,2025-01-03 07:15:00+00:00,long,2.5,2655.898,2654.598,2659.1480000000006,-1.0,2665.185,2655.815,2655.835034244966,1.502714285714319
2025-01-06,2025-01-06 07:05:00+00:00,long,2.5,2631.875,2630.165,2636.15,-1.0,2647.275,2631.51,2638.7258849494333,1.4742142857142295
2025-01-08,2025-01-08 07:05:00+00:00,short,2.5,2652.195,2653.445,2649.07,-1.0,2651.375,2645.095,2648.434130301195,1.0917857142856715
2025-01-09,2025-01-09 07:05:00+00:00,short,2.5,2665.255,2667.645,2659.2800000000007,0.0,2662.698,2655.305,2658.9713823016655,1.3095714285713842
2025-01-10,2025-01-10 07:05:00+00:00,short,2.5,2678.195,2679.398,2675.1875,0.0,2675.785,2668.728,2671.0881588862694,1.149499999999989
2025-01-13,2025-01-13 10:05:00+00:00,long,2.5,2679.189,2677.719,2682.8639999999996,0.0,2693.245,2679.145,2687.6433885899705,2.601999999999959
2025-01-14,2025-01-14 09:45:00+00:00,long,2.5,2665.515,2663.699,2670.0549999999994,0.0,2675.155,2666.059,2669.496762497564,1.6203571428571715
2025-01-15,2025-01-15 07:05:00+00:00,short,2.5,2681.235,2682.465,2678.16,-1.0,2679.145,2669.315,2674.1619805497285,1.2850000000000168
2025-01-16,2025-01-16 08:20:00+00:00,short,2.5,2701.665,2703.195,2697.8399999999992,-1.0,2702.008,2692.648,2693.6087699205386,1.8509285714285721
2025-01-17,2025-01-17 07:50:00+00:00,long,2.5,2709.579,2708.508,2712.2565000000013,0.0,2717.375,2709.725,2712.5298539484684,1.5184999999999687
2025-01-20,2025-01-20 07:05:00+00:00,short,2.5,2708.995,2712.755,2699.5949999999993,0.0,2707.435,2689.308,2702.034650909536,1.6995714285714516
2025-01-21,2025-01-21 07:40:00+00:00,short,2.5,2731.065,2732.395,2727.7400000000002,0.0,2728.985,2702.745,2716.52086673852,2.1407142857143038
2025-01-22,2025-01-22 09:25:00+00:00,short,2.5,2759.025,2761.045,2753.9750000000004,-1.0,2758.475,2742.455,2745.8048516591543,2.0079285714286277
2025-01-23,2025-01-23 09:25:00+00:00,long,2.5,2745.955,2744.575,2749.405,-1.0,2756.088,2749.385,2753.1767052629934,1.682785714285696
2025-01-24,2025-01-24 09:35:00+00:00,short,2.5,2774.135,2778.665,2762.810000000001,-1.0,2777.215,2754.075,2765.59046565579,2.042142857142835
2025-01-27,2025-01-27 07:15:00+00:00,long,2.5,2752.805,2751.565,2755.9049999999993,-1.0,2772.415,2752.655,2762.90076764053,1.4657142857143495
2025-01-28,2025-01-28 08:15:00+00:00,long,2.5,2737.835,2736.565,2741.01,-1.0,2745.065,2737.675,2743.017124426032,1.4400000000000222
2025-01-29,2025-01-29 07:05:00+00:00,long,2.5,2758.815,2757.405,2762.3399999999997,0.0,2765.985,2759.965,2759.70492597372,1.2445714285713945
2025-01-31,2025-01-31 07:05:00+00:00,long,2.5,2793.215,2790.915,2798.9650000000006,2.5,2799.375,2793.735,2791.37035174571,1.3740714285714344
2025-02-03,2025-02-03 08:25:00+00:00,short,2.5,2796.408,2798.665,2790.7654999999995,-1.0,2795.598,2771.885,2788.9775650435768,2.652928571428577
2025-02-04,2025-02-04 07:05:00+00:00,long,2.5,2812.575,2810.115,2818.725,-1.0,2824.445,2812.305,2814.3333757637215,1.4842857142857935
2025-02-05,2025-02-05 08:00:00+00:00,short,2.5,2863.945,2865.075,2861.120000000001,-1.0,2860.415,2839.335,2846.5176884737602,1.9549999999999597
2025-02-06,2025-02-06 07:05:00+00:00,long,2.5,2860.535,2857.155,2868.9849999999988,-1.0,2873.085,2863.448,2866.460601876172,2.069357142857143
2025-02-07,2025-02-07 09:15:00+00:00,short,2.5,2867.615,2871.505,2857.889999999999,0.0,2870.395,2857.415,2862.085017906643,1.8816428571428463
2025-02-10,2025-02-10 07:30:00+00:00,short,2.5,2892.165,2893.165,2889.665,-1.0,2879.795,2865.558,2870.940555004355,2.3126428571428215
2025-02-11,2025-02-11 09:05:00+00:00,long,2.5,2911.505,2903.535,2931.4300000000007,-1.0,2942.665,2905.015,2912.699009229421,3.305928571428532
2025-02-12,2025-02-12 10:35:00+00:00,long,2.5,2883.478,2880.838,2890.0779999999995,-1.0,2898.765,2883.345,2893.52378827883,2.335428571428435
2025-02-14,2025-02-14 07:05:00+00:00,short,2.5,2932.705,2935.215,2926.4299999999994,-1.0,2933.705,2922.915,2925.4794344640477,1.8117142857142556
2025-02-17,2025-02-17 09:20:00+00:00,short,2.5,2903.965,2906.955,2896.4900000000007,0.0,2905.075,2879.095,2892.8950203968775,2.3391428571428605
2025-02-19,2025-02-19 08:40:00+00:00,short,2.5,2939.805,2940.865,2937.1549999999997,2.5,2939.465,2924.0,2929.9678321089887,1.6292857142857105
2025-02-20,2025-02-20 07:05:00+00:00,short,2.5,2947.695,2949.005,2944.42,-1.0,2946.685,2933.615,2937.8607518104714,1.5794999999999877
2025-02-21,2025-02-21 08:15:00+00:00,long,2.5,2923.725,2922.625,2926.4749999999995,-1.0,2949.545,2923.955,2935.2048044768408,1.8664285714285467
2025-02-24,2025-02-24 07:55:00+00:00,short,2.5,2942.095,2945.795,2932.8449999999993,0.0,2944.575,2921.055,2936.8578525336184,1.726642857142841
2025-02-25,2025-02-25 07:05:00+00:00,long,2.5,2935.085,2933.705,2938.5350000000003,2.5,2952.405,2935.0,2943.579170123187,1.6219285714285303
2025-02-26,2025-02-26 07:05:00+00:00,long,2.5,2907.269,2904.595,2913.9539999999997,2.5,2929.995,2912.485,2918.399022323421,2.1209285714285215
2025-02-27,2025-02-27 07:45:00+00:00,long,2.5,2890.135,2886.855,2898.335000000001,0.0,2918.975,2888.295,2906.932109802378,3.017857142857143
2025-02-28,2025-02-28 08:05:00+00:00,long,2.5,2857.795,2855.685,2863.0700000000006,-1.0,2884.925,2856.785,2873.0458699227725,2.2197857142857305
2025-03-03,2025-03-03 08:30:00+00:00,long,2.5,2859.895,2857.735,2865.2949999999996,2.5,2871.848,2859.055,2862.7019819875695,1.99235714285721
2025-03-04,2025-03-04 07:25:00+00:00,short,2.5,2893.765,2895.455,2889.54,-1.0,2894.225,2881.648,2886.442191824826,2.247785714285718
2025-03-05,2025-03-05 07:05:00+00:00,short,2.5,2918.665,2919.815,2915.79,0.0,2918.655,2901.758,2911.781604423148,2.2107857142857483
2025-03-06,2025-03-06 07:35:00+00:00,long,2.5,2914.725,2912.385,2920.574999999999,-1.0,2926.425,2914.385,2918.6262815090035,2.259999999999991
2025-03-07,2025-03-07 07:05:00+00:00,short,2.5,2914.105,2915.535,2910.5300000000007,0.0,2912.375,2895.698,2909.652258130912,1.805928571428532
2025-03-10,2025-03-10 08:00:00+00:00,long,2.5,2908.135,2903.125,2920.6600000000008,-1.0,2918.125,2906.689,2911.2883503071384,2.6296428571428287
2025-03-11,2025-03-11 07:05:00+00:00,short,2.5,2900.848,2903.245,2894.8555,0.0,2900.315,2879.938,2895.1983160447485,2.085000000000004
2025-03-12,2025-03-12 07:05:00+00:00,long,2.5,2910.815,2909.505,2914.09,0.0,2919.795,2910.558,2914.123145862174,2.2891428571428087
2025-03-13,2025-03-13 07:05:00+00:00,long,2.5,2936.295,2934.935,2939.6950000000006,-1.0,2946.975,2936.248,2935.2907574815094,1.7690714285714486
2025-03-14,2025-03-14 07:25:00+00:00,long,2.5,2981.0,2980.0,2983.5,2.5,2993.835,2981.475,2979.375150377847,2.037714285714336
2025-03-17,2025-03-17 09:45:00+00:00,short,2.5,2995.215,2996.285,2992.540000000001,-1.0,2992.895,2981.975,2986.9110914551557,1.4200000000000077
2025-03-18,2025-03-18 07:15:00+00:00,short,2.5,3017.995,3019.469,3014.3099999999995,0.0,3016.975,2999.258,3004.503954543116,1.9905714285714242
2025-03-19,2025-03-19 08:45:00+00:00,long,2.5,3027.798,3025.765,3032.8804999999993,-1.0,3045.155,3027.175,3033.0554772543824,2.3492142857143596
2025-03-20,2025-03-20 07:25:00+00:00,long,2.5,3045.895,3043.085,3052.92,-1.0,3057.245,3044.668,3045.830368286734,2.105714285714222
2025-03-24,2025-03-24 07:10:00+00:00,short,2.5,3025.775,3027.315,3021.925,-1.0,3025.495,3013.475,3021.7622342532272,1.6783571428571318
2025-03-25,2025-03-25 08:50:00+00:00,short,2.5,3020.475,3022.045,3016.5499999999993,0.0,3020.895,3007.315,3014.6338287660124,1.8345714285714425
2025-03-26,2025-03-26 07:10:00+00:00,short,2.5,3026.558,3028.348,3022.083,-1.0,3026.955,3013.048,3020.405522567174,1.3059285714285969
2025-03-27,2025-03-27 10:05:00+00:00,short,2.5,3041.478,3044.095,3034.9355000000005,-1.0,3038.495,3021.355,3028.752056421004,1.9914999999999898
2025-03-28,2025-03-28 07:05:00+00:00,short,2.5,3084.175,3085.655,3080.4750000000004,0.0,3081.805,3054.685,3063.3563822896176,2.01757142857137
2025-03-31,2025-03-31 07:05:00+00:00,short,2.5,3123.735,3125.285,3119.8600000000006,2.5,3119.705,3076.485,3097.414688055336,4.054571428571405
2025-04-03,2025-04-03 07:10:00+00:00,long,2.5,3121.495,3120.385,3124.269999999999,0.0,3164.575,3123.785,3136.347814996394,4.395999999999991
2025-04-04,2025-04-04 08:20:00+00:00,long,2.5,3086.555,3084.015,3092.9049999999997,-1.0,3115.515,3086.838,3105.315774160809,4.089785714285783
2025-04-08,2025-04-08 07:05:00+00:00,short,2.5,3008.822,3014.252,2995.2470000000003,0.0,3008.045,2980.125,2998.205169898622,3.3740714285714017
2025-04-09,2025-04-09 07:05:00+00:00,short,2.5,3041.262,3044.265,3033.754500000001,-1.0,3020.365,2971.745,3001.732029968146,6.101428571428577
2025-04-11,2025-04-11 08:25:00+00:00,short,2.5,3223.025,3228.339,3209.7400000000007,0.0,3219.935,3184.665,3188.876930963929,5.149999999999928
2025-04-14,2025-04-14 10:25:00+00:00,long,2.5,3207.295,3205.035,3212.9450000000006,0.0,3245.515,3215.265,3228.9311780655303,3.6003571428571894
2025-04-16,2025-04-16 07:05:00+00:00,short,2.5,3294.775,3298.035,3286.625000000001,0.0,3291.585,3251.455,3256.9919949821788,3.541428571428469
2025-04-17,2025-04-17 07:15:00+00:00,long,2.5,3321.875,3318.825,3329.5000000000005,-1.0,3356.065,3320.515,3330.334124815892,4.2238571428571765
2025-04-21,2025-04-21 07:05:00+00:00,short,2.5,3394.015,3395.465,3390.3899999999994,0.0,3385.695,3347.285,3359.097247285021,2.9300000000000637
2025-04-23,2025-04-23 07:05:00+00:00,long,2.5,3310.405,3299.905,3336.655,2.5,3386.375,3315.565,3364.646645378617,8.411785714285704
2025-04-30,2025-04-30 08:20:00+00:00,long,2.5,3288.255,3282.695,3302.1549999999997,-1.0,3327.865,3301.025,3311.7448280253598,4.484285714285794
2025-05-01,2025-05-01 09:45:00+00:00,long,2.5,3222.915,3218.485,3233.99,-1.0,3276.095,3220.605,3252.98262906477,2.77571428571423
2025-05-02,2025-05-02 07:35:00+00:00,short,2.5,3261.705,3262.705,3259.205,2.5,3258.455,3227.115,3242.7467943993033,3.6149999999999767
2025-05-05,2025-05-05 08:35:00+00:00,short,2.5,3271.355,3273.565,3265.83,-1.0,3272.205,3240.885,3253.3233194319455,3.126428571428505
2025-05-08,2025-05-08 07:05:00+00:00,long,2.5,3331.605,3325.925,3345.8049999999994,2.5,3414.705,3354.585,3378.372651295113,9.333142857142807
2025-05-09,2025-05-09 07:15:00+00:00,short,2.5,3327.035,3332.995,3312.1349999999998,0.0,3329.915,3274.295,3319.3359794151975,4.104999999999953
2025-05-12,2025-05-12 07:30:00+00:00,long,2.5,3230.705,3217.895,3262.7299999999996,-1.0,3289.675,3258.535,3289.0338535442465,8.28571428571435
2025-05-13,2025-05-13 07:05:00+00:00,short,2.5,3259.845,3265.765,3245.0449999999996,0.0,3260.545,3215.535,3241.926770773426,4.441857142857056
2025-05-16,2025-05-16 07:25:00+00:00,long,2.5,3208.065,3203.975,3218.2900000000004,0.0,3244.245,3206.255,3217.032836564054,4.211071428571423
2025-05-20,2025-05-20 09:05:00+00:00,short,2.5,3232.275,3238.515,3216.6750000000006,-1.0,3232.445,3204.205,3221.2867803288877,3.6404285714285316
2025-05-21,2025-05-21 07:05:00+00:00,short,2.5,3315.775,3320.915,3302.925,0.0,3319.325,3285.105,3290.4688217468965,3.6700000000000403
2025-05-22,2025-05-22 08:35:00+00:00,long,2.5,3314.298,3311.335,3321.705499999999,-1.0,3345.198,3319.128,3324.4279542392237,3.682785714285793
2025-05-23,2025-05-23 07:05:00+00:00,short,2.5,3328.418,3333.648,3315.343,-1.0,3325.398,3286.765,3306.9748118881303,3.3864285714286586
2025-05-26,2025-05-26 08:45:00+00:00,long,2.5,3334.048,3329.755,3344.780499999999,-1.0,3356.598,3331.198,3346.410646492783,2.9289285714286115
2025-05-27,2025-05-27 07:05:00+00:00,long,2.5,3306.085,3302.648,3314.6775,0.0,3349.748,3315.678,3336.54234598313,5.110214285714359
2025-05-28,2025-05-28 07:45:00+00:00,short,2.5,3317.248,3318.425,3314.3054999999995,-1.0,3315.525,3291.398,3305.15490670619,3.1019285714286133
2025-05-29,2025-05-29 07:20:00+00:00,short,2.5,3278.395,3283.625,3265.3199999999997,-1.0,3280.005,3245.198,3279.9330286798054,2.786428571428652
2025-05-30,2025-05-30 07:15:00+00:00,long,2.5,3291.735,3286.148,3305.7025000000003,0.0,3322.448,3289.898,3303.8605020020354,4.228714285714302
2025-06-02,2025-06-02 07:15:00+00:00,short,2.5,3350.905,3353.448,3344.547500000001,-1.0,3325.548,3301.195,3308.0422286177686,4.28164285714284
2025-06-03,2025-06-03 07:05:00+00:00,long,2.5,3355.045,3353.315,3359.37,-1.0,3388.398,3356.038,3365.784154837489,3.7728571428571547
2025-06-05,2025-06-05 09:25:00+00:00,short,2.5,3383.155,3385.425,3377.4800000000005,-1.0,3383.975,3360.925,3370.7620783607013,2.58992857142854
2025-06-06,2025-06-06 07:50:00+00:00,long,2.5,3355.575,3353.825,3359.95,0.0,3375.348,3355.848,3363.9717607320467,3.0097857142857265
2025-06-09,2025-06-09 07:10:00+00:00,short,2.5,3322.485,3323.609,3319.6750000000006,-1.0,3318.448,3293.198,3311.025712990476,2.5657142857142907
2025-06-10,2025-06-10 07:05:00+00:00,short,2.5,3326.335,3329.865,3317.5100000000007,-1.0,3326.595,3301.698,3318.002046549601,3.280214285714302
2025-06-11,2025-06-11 07:55:00+00:00,short,2.5,3346.248,3348.085,3341.6555,0.0,3342.895,3324.835,3332.930755401618,2.7114285714284767
2025-06-12,2025-06-12 07:40:00+00:00,long,2.5,3352.745,3347.898,3364.8624999999993,-1.0,3377.548,3361.938,3360.6174282170728,4.620499999999928
2025-06-16,2025-06-16 07:05:00+00:00,long,2.5,3418.775,3412.735,3433.875,-1.0,3451.085,3417.555,3432.2560613325654,3.670571428571488
2025-06-19,2025-06-19 07:05:00+00:00,long,2.5,3356.505,3355.115,3359.980000000001,0.0,3387.798,3359.948,3374.217989143539,4.794857142857187
2025-06-24,2025-06-24 07:05:00+00:00,long,2.5,3323.395,3320.848,3329.7625,-1.0,3357.615,3326.375,3353.213882080355,4.13149999999996
2025-06-25,2025-06-25 07:45:00+00:00,short,2.5,3334.948,3336.798,3330.3230000000003,2.5,3335.048,3323.415,3327.55165931341,2.7299999999999858
2025-06-26,2025-06-26 07:30:00+00:00,short,2.5,3345.275,3346.785,3341.500000000001,-1.0,3342.985,3328.998,3333.6956768308555,2.239857142857123
2025-06-27,2025-06-27 07:10:00+00:00,long,2.5,3287.935,3286.575,3291.335,-1.0,3321.845,3288.998,3313.113829131385,3.8110714285713323
2025-06-30,2025-06-30 07:05:00+00:00,short,2.5,3292.948,3294.448,3289.198,-1.0,3291.215,3259.195,3277.487084384042,2.2534999999999985
2025-07-01,2025-07-01 07:10:00+00:00,short,2.5,3333.785,3334.825,3331.185,-1.0,3332.175,3309.675,3311.3668244973846,2.2385714285714067
2025-07-02,2025-07-02 07:15:00+00:00,long,2.5,3331.655,3326.805,3343.780000000001,0.0,3344.765,3328.208,3336.8046274004837,2.457642857142868
2025-07-03,2025-07-03 07:05:00+00:00,short,2.5,3360.548,3363.905,3352.155499999999,0.0,3360.305,3341.648,3350.195666678219,2.43271428571435
2025-07-04,2025-07-04 07:05:00+00:00,short,2.5,3342.945,3343.955,3340.420000000001,2.5,3342.048,3325.615,3335.3127572516687,1.7037857142857515
2025-07-07,2025-07-07 07:50:00+00:00,long,2.5,3303.935,3302.205,3308.26,-1.0,3329.495,3305.005,3320.9047755692836,2.7709285714285476
2025-07-08,2025-07-08 07:05:00+00:00,short,2.5,3337.825,3338.975,3334.95,-1.0,3337.835,3327.115,3330.7912973259326,2.059571428571352
2025-07-09,2025-07-09 08:25:00+00:00,long,2.5,3286.335,3283.198,3294.1775000000007,-1.0,3307.725,3284.638,3299.673055716408,2.8578571428572235
2025-07-10,2025-07-10 07:05:00+00:00,short,2.5,3326.859,3329.048,3321.3865000000005,0.0,3326.085,3314.655,3315.7443000961034,1.8699999999999883
2025-07-11,2025-07-11 08:00:00+00:00,short,2.5,3341.685,3342.928,3338.5775000000003,-1.0,3341.508,3323.345,3329.2078090166697,2.0730000000000603
2025-07-14,2025-07-14 07:30:00+00:00,short,2.5,3374.365,3375.385,3371.8149999999987,2.5,3373.105,3353.435,3359.5290778862154,3.0621428571428817
