date,time,side,entry,sl,tp2,partial_time,runner_exit_time,total_R,entry_mode,cum_R
2025-01-02,2025-01-02 08:10:00+00:00,short,2634.935,2637.298,2627.8460000000005,,2025-01-02 08:45:00+00:00,-1.0,market,-1.0
2025-01-03,2025-01-03 07:10:00+00:00,long,2655.898,2654.598,2659.7980000000007,,2025-01-03 07:20:00+00:00,-1.0,market,-2.0
2025-01-06,2025-01-06 07:00:00+00:00,long,2631.875,2630.165,2637.005,,2025-01-06 07:20:00+00:00,-1.0,market,-3.0
2025-01-08,2025-01-08 08:00:00+00:00,short,2651.164,2653.825,2643.1810000000014,,2025-01-08 09:05:00+00:00,-1.0,market,-4.0
2025-01-09,2025-01-09 07:55:00+00:00,short,2662.164,2664.718,2654.5020000000013,,2025-01-09 08:20:00+00:00,-1.0,market,-5.0
2025-01-10,2025-01-10 07:30:00+00:00,short,2675.685,2679.575,2664.0150000000003,,2025-01-10 08:20:00+00:00,-1.0,market,-6.0
2025-01-13,2025-01-13 10:05:00+00:00,long,2680.565,2678.089,2687.9930000000004,,2025-01-13 10:25:00+00:00,-1.0,market,-7.0
2025-01-14,2025-01-14 09:50:00+00:00,long,2666.905,2664.929,2672.8330000000005,,2025-01-14 10:20:00+00:00,-1.0,market,-8.0
2025-01-16,2025-01-16 08:25:00+00:00,short,2700.999,2704.195,2691.4109999999987,,2025-01-16 09:20:00+00:00,-1.0,market,-9.0
2025-01-17,2025-01-17 07:50:00+00:00,long,2709.845,2707.525,2716.804999999999,,2025-01-17 09:25:00+00:00,-1.0,market,-10.0
2025-01-20,2025-01-20 07:10:00+00:00,short,2706.845,2709.418,2699.125999999999,,2025-01-20 10:30:00+00:00,-1.0,market,-11.0
2025-01-22,2025-01-22 09:55:00+00:00,short,2758.125,2759.878,2752.8659999999995,,2025-01-22 10:00:00+00:00,-1.0,market,-12.0
2025-01-23,2025-01-23 10:45:00+00:00,long,2751.095,2747.705,2761.2649999999994,,2025-01-23 12:10:00+00:00,-1.0,market,-13.0
2025-01-24,2025-01-24 09:35:00+00:00,short,2772.905,2778.215,2756.9750000000004,,2025-01-24 11:30:00+00:00,-1.0,market,-14.0
2025-01-27,2025-01-27 08:10:00+00:00,long,2754.305,2750.685,2765.1649999999995,2025-01-27 10:00:00+00:00,2025-01-27 12:55:00+00:00,2.778,market,-11.222
2025-01-28,2025-01-28 08:15:00+00:00,long,2737.955,2736.235,2743.1149999999993,,2025-01-28 08:25:00+00:00,-1.0,market,-12.222
2025-01-29,2025-01-29 08:00:00+00:00,long,2760.125,2758.015,2766.4550000000004,,2025-01-29 10:35:00+00:00,-1.0,market,-13.222
