date,time,side,entry,sl,tp2,partial_time,runner_exit_time,total_R,entry_mode,cum_R
2025-01-02,2025-01-02 08:10:00+00:00,short,2635.1265,2637.298,2630.7835,,2025-01-02 08:45:00+00:00,-1.0,limit,-1.0
2025-01-03,2025-01-03 07:10:00+00:00,long,2655.748,2654.598,2658.0480000000002,,2025-01-03 07:20:00+00:00,-1.0,limit,-2.0
2025-01-06,2025-01-06 07:00:00+00:00,long,2631.5315,2630.165,2634.2645,,2025-01-06 07:20:00+00:00,-1.0,limit,-3.0
2025-01-08,2025-01-08 08:00:00+00:00,short,2651.9945,2653.825,2648.3334999999997,,2025-01-08 09:05:00+00:00,-1.0,limit,-4.0
2025-01-09,2025-01-09 07:55:00+00:00,short,2662.968,2664.718,2659.468,,2025-01-09 08:20:00+00:00,-1.0,limit,-5.0
2025-01-10,2025-01-10 07:35:00+00:00,short,2676.04,2677.675,2672.7699999999995,,2025-01-10 08:05:00+00:00,-1.0,limit,-6.0
2025-01-13,2025-01-13 10:05:00+00:00,long,2679.817,2678.089,2683.273,,2025-01-13 10:25:00+00:00,-1.0,limit,-7.0
2025-01-14,2025-01-14 09:45:00+00:00,long,2666.027,2664.245,2669.5910000000003,2025-01-14 11:55:00+00:00,2025-01-14 12:55:00+00:00,1.84,limit,-5.16
2025-01-16,2025-01-16 08:30:00+00:00,short,2700.1135,2703.008,2694.3245,,2025-01-16 09:20:00+00:00,-1.0,limit,-6.16
2025-01-17,2025-01-17 07:55:00+00:00,long,2709.88,2708.365,2712.9100000000008,,2025-01-17 09:20:00+00:00,-1.0,limit,-7.16
2025-01-20,2025-01-20 09:05:00+00:00,short,2706.562,2709.315,2701.0559999999996,,2025-01-20 10:30:00+00:00,-1.0,limit,-8.16
2025-01-21,2025-01-21 08:05:00+00:00,short,2726.8100000000004,2729.985,2720.460000000001,2025-01-21 09:00:00+00:00,2025-01-21 12:35:00+00:00,1.6,limit,-6.5600000000000005
2025-01-22,2025-01-22 09:55:00+00:00,short,2758.5065000000004,2759.878,2755.763500000001,,2025-01-22 10:05:00+00:00,-1.0,limit,-7.5600000000000005
2025-01-23,2025-01-23 10:50:00+00:00,long,2751.21,2748.385,2756.8599999999997,,2025-01-23 12:10:00+00:00,-1.0,limit,-8.56
2025-01-24,2025-01-24 09:35:00+00:00,short,2773.615,2778.215,2764.414999999999,,2025-01-24 11:30:00+00:00,-1.0,limit,-9.56
2025-01-27,2025-01-27 08:15:00+00:00,long,2755.62,2751.655,2763.5499999999993,2025-01-27 09:05:00+00:00,2025-01-27 12:55:00+00:00,1.879,limit,-7.681000000000001
2025-01-28,2025-01-28 08:15:00+00:00,long,2737.635,2736.235,2740.4350000000004,,2025-01-28 08:25:00+00:00,-1.0,limit,-8.681000000000001
2025-01-31,2025-01-31 07:15:00+00:00,long,2796.465,2792.735,2803.925,,2025-01-31 08:30:00+00:00,-1.0,limit,-9.681000000000001
2025-02-03,2025-02-03 09:15:00+00:00,short,2796.42,2798.715,2791.83,,2025-02-03 09:30:00+00:00,-1.0,limit,-10.681000000000001
2025-02-04,2025-02-04 07:05:00+00:00,long,2812.55,2811.275,2815.1000000000004,,2025-02-04 07:20:00+00:00,-1.0,limit,-11.681000000000001
2025-02-05,2025-02-05 07:00:00+00:00,short,2857.24,2861.415,2848.8899999999994,,2025-02-05 07:55:00+00:00,-1.0,limit,-12.681000000000001
2025-02-11,2025-02-11 09:05:00+00:00,long,2910.455,2904.015,2923.335,,2025-02-11 09:40:00+00:00,-1.0,limit,-13.681000000000001
2025-02-12,2025-02-12 10:50:00+00:00,long,2883.705,2881.675,2887.7649999999994,,2025-02-12 11:00:00+00:00,-1.0,limit,-14.681000000000001
2025-02-14,2025-02-14 07:00:00+00:00,short,2933.485,2935.215,2930.025,,2025-02-14 08:10:00+00:00,-1.0,limit,-15.681000000000001
2025-02-17,2025-02-17 09:25:00+00:00,short,2903.445,2906.075,2898.185000000001,2025-02-17 10:25:00+00:00,2025-02-17 11:00:00+00:00,1.6,limit,-14.081000000000001
2025-02-19,2025-02-19 08:40:00+00:00,short,2939.0299999999997,2940.985,2935.119999999999,,2025-02-19 09:15:00+00:00,-1.0,limit,-15.081000000000001
2025-02-21,2025-02-21 09:00:00+00:00,long,2924.325,2921.835,2929.3049999999994,2025-02-21 09:50:00+00:00,2025-02-21 12:55:00+00:00,2.05,limit,-13.031000000000002
2025-02-24,2025-02-24 07:55:00+00:00,short,2943.765,2945.575,2940.145,2025-02-24 08:35:00+00:00,2025-02-24 08:50:00+00:00,1.6,limit,-11.431000000000003
2025-02-25,2025-02-25 07:05:00+00:00,long,2936.325,2933.885,2941.204999999999,,2025-02-25 07:40:00+00:00,-1.0,limit,-12.431000000000003
2025-02-26,2025-02-26 07:45:00+00:00,long,2914.29,2911.485,2919.8999999999996,,2025-02-26 08:20:00+00:00,-1.0,limit,-13.431000000000003
2025-02-27,2025-02-27 07:45:00+00:00,long,2891.74,2887.295,2900.629999999999,,2025-02-27 08:05:00+00:00,-1.0,limit,-14.431000000000003
2025-02-28,2025-02-28 08:05:00+00:00,long,2858.355,2855.785,2863.4950000000003,,2025-02-28 08:15:00+00:00,-1.0,limit,-15.431000000000003
2025-03-03,2025-03-03 10:55:00+00:00,short,2872.6675,2874.55,2868.9024999999997,,2025-03-03 11:10:00+00:00,-1.0,limit,-16.431000000000004
2025-03-05,2025-03-05 07:10:00+00:00,short,2918.0,2919.655,2914.6899999999996,2025-03-05 07:30:00+00:00,2025-03-05 08:00:00+00:00,1.6,limit,-14.831000000000005
2025-03-06,2025-03-06 07:35:00+00:00,long,2912.86,2910.235,2918.11,,2025-03-06 07:55:00+00:00,-1.0,limit,-15.831000000000005
2025-03-07,2025-03-07 07:25:00+00:00,short,2912.5249999999996,2914.225,2909.124999999999,,2025-03-07 07:40:00+00:00,-1.0,limit,-16.831000000000003
2025-03-10,2025-03-10 07:55:00+00:00,long,2906.125,2903.125,2912.125,,2025-03-10 08:25:00+00:00,-1.0,limit,-17.831000000000003
2025-03-11,2025-03-11 07:10:00+00:00,short,2900.835,2902.955,2896.5950000000003,,2025-03-11 08:05:00+00:00,-1.0,limit,-18.831000000000003
2025-03-12,2025-03-12 07:05:00+00:00,long,2910.9465,2909.195,2914.4494999999997,,2025-03-12 07:20:00+00:00,-1.0,limit,-19.831000000000003
2025-03-13,2025-03-13 07:00:00+00:00,long,2936.125,2934.935,2938.505,,2025-03-13 07:10:00+00:00,-1.0,limit,-20.831000000000003
2025-03-14,2025-03-14 07:30:00+00:00,long,2983.66,2980.475,2990.0299999999997,2025-03-14 08:20:00+00:00,2025-03-14 12:55:00+00:00,2.228,limit,-18.603
2025-03-18,2025-03-18 07:20:00+00:00,short,3016.85,3019.325,3011.9,,2025-03-18 08:05:00+00:00,-1.0,limit,-19.603
2025-03-19,2025-03-19 08:45:00+00:00,long,3027.738,3026.175,3030.863999999999,,2025-03-19 08:55:00+00:00,-1.0,limit,-20.603
2025-03-20,2025-03-20 07:25:00+00:00,long,3045.8215,3043.668,3050.1285,,2025-03-20 07:45:00+00:00,-1.0,limit,-21.603
2025-03-24,2025-03-24 07:10:00+00:00,short,3025.67,3026.975,3023.0600000000004,,2025-03-24 07:20:00+00:00,-1.0,limit,-22.603
2025-03-25,2025-03-25 09:05:00+00:00,short,3020.705,3022.115,3017.885,,2025-03-25 09:45:00+00:00,-1.0,limit,-23.603
2025-03-26,2025-03-26 07:10:00+00:00,short,3026.5365,3027.955,3023.6995000000006,,2025-03-26 07:30:00+00:00,-1.0,limit,-24.603
2025-03-28,2025-03-28 07:30:00+00:00,short,3081.7115,3083.948,3077.2385,2025-03-28 08:05:00+00:00,2025-03-28 12:50:00+00:00,1.6,limit,-23.003
2025-03-31,2025-03-31 07:30:00+00:00,short,3121.025,3123.405,3116.265,,2025-03-31 07:55:00+00:00,-1.0,limit,-24.003
2025-04-03,2025-04-03 07:25:00+00:00,long,3123.4065,3121.225,3127.7695000000003,,2025-04-03 07:40:00+00:00,-1.0,limit,-25.003
2025-04-04,2025-04-04 09:10:00+00:00,long,3089.76,3085.838,3097.6040000000003,2025-04-04 10:05:00+00:00,2025-04-04 12:30:00+00:00,1.6,limit,-23.403
2025-04-08,2025-04-08 07:35:00+00:00,short,3007.38,3009.925,3002.29,2025-04-08 07:45:00+00:00,2025-04-08 08:10:00+00:00,1.6,limit,-21.802999999999997
2025-04-11,2025-04-11 08:25:00+00:00,short,3221.19,3224.275,3215.02,2025-04-11 09:00:00+00:00,2025-04-11 09:35:00+00:00,1.6,limit,-20.202999999999996
2025-04-17,2025-04-17 07:35:00+00:00,long,3320.2,3317.195,3326.209999999999,,2025-04-17 08:25:00+00:00,-1.0,limit,-21.202999999999996
2025-04-21,2025-04-21 07:50:00+00:00,short,3386.325,3388.435,3382.1049999999996,,2025-04-21 08:20:00+00:00,-1.0,limit,-22.202999999999996
2025-04-23,2025-04-23 07:40:00+00:00,long,3314.92,3310.985,3322.79,,2025-04-23 08:10:00+00:00,-1.0,limit,-23.202999999999996
2025-05-01,2025-05-01 09:45:00+00:00,long,3222.9449999999997,3219.605,3229.624999999999,,2025-05-01 09:55:00+00:00,-1.0,limit,-24.202999999999996
2025-05-02,2025-05-02 07:40:00+00:00,short,3259.7799999999997,3262.185,3254.9699999999993,2025-05-02 09:00:00+00:00,2025-05-02 09:05:00+00:00,1.6,limit,-22.602999999999994
2025-05-05,2025-05-05 08:30:00+00:00,short,3272.01,3273.565,3268.9000000000005,,2025-05-05 08:40:00+00:00,-1.0,limit,-23.602999999999994
2025-05-09,2025-05-09 07:15:00+00:00,short,3327.52,3330.915,3320.73,2025-05-09 08:05:00+00:00,2025-05-09 08:45:00+00:00,1.6,limit,-22.002999999999993
2025-05-13,2025-05-13 07:10:00+00:00,short,3260.2650000000003,3262.445,3255.9050000000007,2025-05-13 07:20:00+00:00,2025-05-13 08:00:00+00:00,1.6,limit,-20.40299999999999
2025-05-16,2025-05-16 07:25:00+00:00,long,3208.24,3205.255,3214.209999999999,2025-05-16 07:40:00+00:00,2025-05-16 07:50:00+00:00,1.6,limit,-18.80299999999999
2025-05-20,2025-05-20 09:00:00+00:00,short,3234.865,3238.515,3227.5649999999996,,2025-05-20 09:25:00+00:00,-1.0,limit,-19.80299999999999
2025-05-23,2025-05-23 08:25:00+00:00,short,3324.3165,3326.885,3319.1794999999993,,2025-05-23 08:35:00+00:00,-1.0,limit,-20.80299999999999
2025-05-26,2025-05-26 08:45:00+00:00,long,3333.1965,3330.198,3339.1935000000003,,2025-05-26 09:20:00+00:00,-1.0,limit,-21.80299999999999
